"Datetime","Discharge (Ml/Day) Mean","QC","Discharge (Ml/Day) Minimum","QC","Discharge (Ml/Day) Maximum","QC"
03/08/1966 00:00:00,,    255,,    255,,    255
04/08/1966 00:00:00,      57.706,      1,      54.609,      1,      59.584,      1
05/08/1966 00:00:00,      54.092,      1,      52.576,      1,      54.609,      1
06/08/1966 00:00:00,      51.190,      1,      48.468,      1,      52.576,      1
07/08/1966 00:00:00,      47.529,      1,      47.148,      1,      48.683,      1
08/08/1966 00:00:00,      47.148,      1,      47.148,      1,      47.148,      1
09/08/1966 00:00:00,      47.009,      1,      46.868,      1,      47.148,      1
10/08/1966 00:00:00,      46.637,      1,      46.311,      1,      46.868,      1
11/08/1966 00:00:00,      80.361,      1,      46.485,      1,     340.586,      1
12/08/1966 00:00:00,     405.408,      1,     321.446,      1,     545.818,      1
13/08/1966 00:00:00,     217.387,      1,     154.769,      1,     321.446,      1
14/08/1966 00:00:00,     127.186,      1,     104.824,      1,     154.769,      1
15/08/1966 00:00:00,      93.855,      1,      85.158,      1,     104.824,      1
16/08/1966 00:00:00,      80.253,      1,      77.124,      1,      85.158,      1
17/08/1966 00:00:00,      75.259,      1,      74.395,      1,      81.535,      1
18/08/1966 00:00:00,      82.876,      1,      80.385,      1,      84.672,      1
19/08/1966 00:00:00,      79.976,      1,      76.664,      1,      93.022,      1
20/08/1966 00:00:00,     302.991,      1,      93.022,      1,     445.672,      1
21/08/1966 00:00:00,     231.342,      1,     165.732,      1,     302.176,      1
22/08/1966 00:00:00,     134.353,      1,     115.539,      1,     165.732,      1
23/08/1966 00:00:00,     106.180,      1,      96.028,      1,     115.539,      1
24/08/1966 00:00:00,      90.874,      1,      88.307,      1,      96.028,      1
25/08/1966 00:00:00,      83.851,      1,      80.385,      1,      88.307,      1
26/08/1966 00:00:00,      79.102,      1,      78.986,      1,      80.385,      1
27/08/1966 00:00:00,      83.463,      1,      78.986,      1,      90.656,      1
28/08/1966 00:00:00,      92.175,      1,      89.649,      1,      94.384,      1
29/08/1966 00:00:00,      79.213,      1,      72.395,      1,      89.649,      1
30/08/1966 00:00:00,      68.099,      1,      67.064,      1,      72.395,      1
31/08/1966 00:00:00,      67.292,      1,      67.188,      1,      67.395,      1
01/09/1966 00:00:00,      84.871,      1,      67.395,      1,     271.675,      1
02/09/1966 00:00:00,    1388.998,      1,     271.675,      1,    2089.184,      1
03/09/1966 00:00:00,     743.721,      1,     499.946,      1,    1301.917,      1
04/09/1966 00:00:00,     408.354,      1,     323.184,      1,     499.946,      1
05/09/1966 00:00:00,     273.684,      1,     234.367,      1,     323.184,      1
06/09/1966 00:00:00,     211.971,      1,     190.493,      1,     234.367,      1
07/09/1966 00:00:00,     182.335,      1,     172.956,      1,     190.493,      1
08/09/1966 00:00:00,     162.253,      1,     155.171,      1,     172.956,      1
09/09/1966 00:00:00,     145.710,      1,     137.473,      1,     155.171,      1
10/09/1966 00:00:00,     135.324,      1,     134.694,      1,     138.315,      1
