Datetime,Discharge_ML_day,QC
02/01/1992 00:00:00,285.369,1
03/01/1992 00:00:00,304.116,1
04/01/1992 00:00:00,414.393,1
05/01/1992 00:00:00,569.501,1
06/01/1992 00:00:00,594.582,1
07/01/1992 00:00:00,544.287,1
08/01/1992 00:00:00,694.505,1
09/01/1992 00:00:00,708.108,1
10/01/1992 00:00:00,7809.42,1
11/01/1992 00:00:00,26635.312,1
12/01/1992 00:00:00,9980.552,1
13/01/1992 00:00:00,4979.139,1
14/01/1992 00:00:00,3091.13,1
15/01/1992 00:00:00,2063.238,1
16/01/1992 00:00:00,1521.725,1
17/01/1992 00:00:00,1194.1,1
18/01/1992 00:00:00,979.022,1
19/01/1992 00:00:00,840.42,1
20/01/1992 00:00:00,737.694,1
21/01/1992 00:00:00,662.65,1
22/01/1992 00:00:00,609.439,1
23/01/1992 00:00:00,547.528,1
24/01/1992 00:00:00,493.293,1
25/01/1992 00:00:00,470.538,1
26/01/1992 00:00:00,509.992,1
27/01/1992 00:00:00,577.016,1
28/01/1992 00:00:00,696.308,1
29/01/1992 00:00:00,690.025,1
30/01/1992 00:00:00,566.049,1
31/01/1992 00:00:00,476.693,1
01/02/1992 00:00:00,414.26,1
02/02/1992 00:00:00,378.418,1
03/02/1992 00:00:00,336.215,1
04/02/1992 00:00:00,311.846,1
05/02/1992 00:00:00,296.355,1
06/02/1992 00:00:00,279.64,1
07/02/1992 00:00:00,311.808,1
08/02/1992 00:00:00,377.814,1
09/02/1992 00:00:00,515.804,1
10/02/1992 00:00:00,802.153,1
11/02/1992 00:00:00,1060.73,1
12/02/1992 00:00:00,14387.793,1
13/02/1992 00:00:00,14499.256,1
14/02/1992 00:00:00,7378.287,1
15/02/1992 00:00:00,4748.395,1
16/02/1992 00:00:00,3305.465,1
17/02/1992 00:00:00,2631.722,1
18/02/1992 00:00:00,2174.98,1
19/02/1992 00:00:00,1747.031,1
20/02/1992 00:00:00,1440.306,1
21/02/1992 00:00:00,1220.014,1
22/02/1992 00:00:00,1072.716,1
23/02/1992 00:00:00,956.188,1
24/02/1992 00:00:00,886.054,1
25/02/1992 00:00:00,835.817,1
26/02/1992 00:00:00,836.239,1
27/02/1992 00:00:00,933.366,1
28/02/1992 00:00:00,994.513,1
29/02/1992 00:00:00,919.694,1
01/03/1992 00:00:00,784.873,1
02/03/1992 00:00:00,696.517,1
03/03/1992 00:00:00,622.278,1
04/03/1992 00:00:00,570.062,1
05/03/1992 00:00:00,1059.758,1
06/03/1992 00:00:00,1449.576,1
07/03/1992 00:00:00,1343.219,1
08/03/1992 00:00:00,1158.926,1
09/03/1992 00:00:00,915.054,1
10/03/1992 00:00:00,757.739,1
11/03/1992 00:00:00,653.288,1
12/03/1992 00:00:00,594.693,1
13/03/1992 00:00:00,551.56,1
14/03/1992 00:00:00,512.218,1
15/03/1992 00:00:00,483.939,1
16/03/1992 00:00:00,464.747,1
17/03/1992 00:00:00,464.397,1
18/03/1992 00:00:00,411.174,1
19/03/1992 00:00:00,382.62,1
20/03/1992 00:00:00,384.394,1
21/03/1992 00:00:00,369.12,1
22/03/1992 00:00:00,362.817,1
23/03/1992 00:00:00,355.028,1
24/03/1992 00:00:00,334.439,1
25/03/1992 00:00:00,329.239,1
26/03/1992 00:00:00,315.368,1
27/03/1992 00:00:00,321.896,1
28/03/1992 00:00:00,345.618,1
29/03/1992 00:00:00,341.71,1
30/03/1992 00:00:00,327.215,1
31/03/1992 00:00:00,326.338,1
01/04/1992 00:00:00,311.083,1
02/04/1992 00:00:00,293.256,1
03/04/1992 00:00:00,288.507,1
04/04/1992 00:00:00,287.484,1
05/04/1992 00:00:00,295.983,1
06/04/1992 00:00:00,283.018,1
07/04/1992 00:00:00,292.204,1
08/04/1992 00:00:00,318.295,1
09/04/1992 00:00:00,301.29,1
10/04/1992 00:00:00,289.59,1
11/04/1992 00:00:00,292.888,1
12/04/1992 00:00:00,321.272,1
13/04/1992 00:00:00,324.3,1
14/04/1992 00:00:00,306.99,1
15/04/1992 00:00:00,298.033,1
16/04/1992 00:00:00,281.212,1
17/04/1992 00:00:00,268.402,1
18/04/1992 00:00:00,277.197,1
19/04/1992 00:00:00,278.311,1
20/04/1992 00:00:00,274.582,1
21/04/1992 00:00:00,274.986,1
22/04/1992 00:00:00,282.923,1
23/04/1992 00:00:00,282.159,1
